Latitude Longitude Value, endStep
   44.312   11.882 3.7 72
   44.312   11.902 3.7 72
   44.312   11.922 3.8 72
   44.312   11.942 3.7 72
   44.312   11.962 3.7 72
   44.332   11.722 4.4 72
   44.332   11.742 4.4 72
   44.332   11.762 4.1 72
   44.332   11.782 4.0 72
   44.332   11.802 3.9 72
   44.332   11.822 3.9 72
   44.332   11.842 3.8 72
   44.332   11.862 3.7 72
   44.332   11.882 3.7 72
   44.332   11.902 3.8 72
   44.332   11.922 3.7 72
   44.332   11.942 3.7 72
   44.332   11.962 3.7 72
   44.352   11.722 4.3 72
   44.352   11.742 4.3 72
   44.352   11.762 4.0 72
   44.352   11.782 4.0 72
   44.352   11.802 3.9 72
   44.352   11.822 3.9 72
   44.352   11.842 3.8 72
   44.352   11.862 3.7 72
   44.352   11.882 3.7 72
   44.352   11.902 3.7 72
   44.352   11.922 3.7 72
   44.352   11.942 3.7 72
   44.352   11.962 3.7 72
   44.372   11.722 4.2 72
   44.372   11.742 4.2 72
   44.372   11.762 3.9 72
   44.372   11.782 3.8 72
   44.372   11.802 3.6 72
   44.372   11.822 3.6 72
   44.372   11.842 3.6 72
   44.372   11.862 3.6 72
   44.372   11.882 3.6 72
   44.372   11.902 3.7 72
   44.372   11.922 3.7 72
   44.372   11.942 3.6 72
   44.372   11.962 3.6 72
   44.392   11.722 3.9 72
   44.392   11.742 3.9 72
   44.392   11.762 3.7 72
   44.392   11.782 3.6 72
   44.392   11.802 3.5 72
   44.392   11.822 3.5 72
   44.392   11.842 3.5 72
   44.392   11.862 3.5 72
   44.392   11.882 3.5 72
   44.392   11.902 3.5 72
   44.392   11.922 3.5 72
   44.392   11.942 3.5 72
   44.392   11.962 3.5 72
Latitude Longitude Value, endStep
   44.252   11.722 3.1 96
   44.252   11.742 3.1 96
   44.252   11.762 3.0 96
   44.252   11.782 2.9 96
   44.252   11.802 2.8 96
   44.252   11.822 2.8 96
   44.252   11.842 2.7 96
   44.252   11.862 2.5 96
   44.252   11.882 2.5 96
   44.252   11.902 2.2 96
   44.252   11.922 1.8 96
   44.252   11.942 1.6 96
   44.252   11.962 1.6 96
   44.272   11.722 2.9 96
   44.272   11.742 2.9 96
   44.272   11.762 2.8 96
   44.272   11.782 2.6 96
   44.272   11.802 2.5 96
   44.272   11.822 2.5 96
   44.272   11.842 2.4 96
   44.272   11.862 2.2 96
   44.272   11.882 2.2 96
